theme_final,negative,neutral,positive,total_rows,negative_share,neutral_share,positive_share,net_sentiment,priority_score
delivery,6408,734,8964,16106,0.3979,0.0456,0.5566,0.1587,6408.58
refund_cancellation,7547,170,828,8545,0.8832,0.0199,0.0969,-0.7863,7546.94
customer_support,2179,53,959,3191,0.6829,0.0166,0.3005,-0.3823,2179.13
pricing_fees,1169,235,1696,3100,0.3771,0.0758,0.5471,0.17,1169.01
trust_reviews,443,58,668,1169,0.379,0.0496,0.5714,0.1925,443.05
app_experience,1066,156,4590,5812,0.1834,0.0268,0.7897,0.6063,1065.92
food_quality,213,20,278,511,0.4168,0.0391,0.544,0.1272,212.98
order_issue,77,10,23,110,0.7,0.0909,0.2091,-0.4909,77.0
competitor_comparison,47,8,301,356,0.132,0.0225,0.8455,0.7135,46.99
other,356,61,2280,2697,0.132,0.0226,0.8454,0.7134,356.0
