theme_final,negative_2024_plus,neutral_2024_plus,positive_2024_plus,total_rows_2024_plus,negative_share_2024_plus,neutral_share_2024_plus,positive_share_2024_plus,net_sentiment_2024_plus,priority_score_2024_plus
delivery,2609,284,3210,6103,0.4275,0.0465,0.526,0.0985,2609.03
refund_cancellation,2367,41,209,2617,0.9045,0.0157,0.0799,-0.8246,2367.08
customer_support,888,21,254,1163,0.7635,0.0181,0.2184,-0.5451,887.95
pricing_fees,494,145,693,1332,0.3709,0.1089,0.5203,0.1494,494.04
trust_reviews,199,23,204,426,0.4671,0.054,0.4789,0.0117,198.98
app_experience,287,44,1479,1810,0.1586,0.0243,0.8171,0.6586,287.07
food_quality,69,8,87,164,0.4207,0.0488,0.5305,0.1098,68.99
order_issue,36,7,10,53,0.6792,0.1321,0.1887,-0.4906,36.0
competitor_comparison,16,4,155,175,0.0914,0.0229,0.8857,0.7943,16.0
other,162,33,1282,1477,0.1097,0.0223,0.868,0.7583,162.03
