brand,theme_final,negative,neutral,positive,total_rows,negative_share,neutral_share,positive_share,net_sentiment,priority_score
swiggy,delivery,8044,379,8787,17210,0.4674,0.022,0.5106,0.0432,8043.95
zomato,delivery,6314,529,9263,16106,0.392,0.0328,0.5751,0.1831,6313.55
swiggy,refund_cancellation,10580,174,961,11715,0.9031,0.0149,0.082,-0.8211,10579.82
zomato,refund_cancellation,7206,173,1166,8545,0.8433,0.0202,0.1365,-0.7068,7206.0
swiggy,customer_support,2204,29,1009,3242,0.6798,0.0089,0.3112,-0.3686,2203.91
zomato,customer_support,2086,57,1048,3191,0.6537,0.0179,0.3284,-0.3253,2085.96
swiggy,pricing_fees,1413,94,1490,2997,0.4715,0.0314,0.4972,0.0257,1413.09
zomato,pricing_fees,1151,178,1771,3100,0.3713,0.0574,0.5713,0.2,1151.03
swiggy,trust_reviews,447,35,316,798,0.5602,0.0439,0.396,-0.1642,447.04
zomato,trust_reviews,439,41,689,1169,0.3755,0.0351,0.5894,0.2139,438.96
swiggy,app_experience,1118,109,4113,5340,0.2094,0.0204,0.7702,0.5609,1118.2
zomato,app_experience,1034,133,4645,5812,0.1779,0.0229,0.7992,0.6213,1033.95
swiggy,food_quality,247,10,252,509,0.4853,0.0196,0.4951,0.0098,247.02
zomato,food_quality,201,18,292,511,0.3933,0.0352,0.5714,0.1781,200.98
swiggy,order_issue,104,0,20,124,0.8387,0.0,0.1613,-0.6774,104.0
zomato,order_issue,77,7,26,110,0.7,0.0636,0.2364,-0.4636,77.0
swiggy,competitor_comparison,578,28,2494,3100,0.1865,0.009,0.8045,0.6181,578.15
zomato,competitor_comparison,50,2,304,356,0.1404,0.0056,0.8539,0.7135,49.98
swiggy,other,130,11,362,503,0.2584,0.0219,0.7197,0.4612,129.98
zomato,other,365,49,2283,2697,0.1353,0.0182,0.8465,0.7112,364.9
