brand,theme_final,negative,neutral,positive,total_rows,negative_share,neutral_share,positive_share,net_sentiment,priority_score
swiggy,delivery,3995,117,1007,5119,0.7804,0.0229,0.1967,-0.5837,3994.87
zomato,delivery,2579,203,3321,6103,0.4226,0.0333,0.5442,0.1216,2579.13
swiggy,refund_cancellation,5421,63,137,5621,0.9644,0.0112,0.0244,-0.94,5420.89
zomato,refund_cancellation,2257,49,311,2617,0.8624,0.0187,0.1188,-0.7436,2256.9
swiggy,customer_support,1298,9,106,1413,0.9186,0.0064,0.075,-0.8436,1297.98
zomato,customer_support,864,22,277,1163,0.7429,0.0189,0.2382,-0.5047,863.99
swiggy,pricing_fees,701,42,256,999,0.7017,0.042,0.2563,-0.4454,701.0
zomato,pricing_fees,506,98,728,1332,0.3799,0.0736,0.5465,0.1667,506.03
swiggy,trust_reviews,255,15,53,323,0.7895,0.0464,0.1641,-0.6254,255.01
zomato,trust_reviews,206,19,201,426,0.4836,0.0446,0.4718,-0.0117,206.01
swiggy,app_experience,565,33,371,969,0.5831,0.0341,0.3829,-0.2002,565.02
zomato,app_experience,291,40,1479,1810,0.1608,0.0221,0.8171,0.6564,291.05
swiggy,food_quality,136,4,22,162,0.8395,0.0247,0.1358,-0.7037,136.0
zomato,food_quality,63,8,93,164,0.3841,0.0488,0.5671,0.1829,62.99
swiggy,order_issue,53,0,2,55,0.9636,0.0,0.0364,-0.9273,53.0
zomato,order_issue,37,5,11,53,0.6981,0.0943,0.2075,-0.4906,37.0
swiggy,competitor_comparison,354,19,478,851,0.416,0.0223,0.5617,0.1457,354.02
zomato,competitor_comparison,23,1,151,175,0.1314,0.0057,0.8629,0.7314,22.99
swiggy,other,81,1,43,125,0.648,0.008,0.344,-0.304,81.0
zomato,other,164,27,1286,1477,0.111,0.0183,0.8707,0.7596,163.95
