brand,year,negative,neutral,positive,total_rows,negative_share,neutral_share,positive_share,net_sentiment,priority_score
swiggy,2018,437,29,1457,1923,0.2272,0.0151,0.7577,0.5304,436.91
swiggy,2019,2549,145,5543,8237,0.3095,0.0176,0.6729,0.3635,2549.35
swiggy,2020,2085,113,2817,5015,0.4158,0.0225,0.5617,0.146,2085.24
swiggy,2021,2405,112,4399,6916,0.3477,0.0162,0.6361,0.2883,2404.69
swiggy,2022,2376,95,1829,4300,0.5526,0.0221,0.4253,-0.1272,2376.18
swiggy,2023,2154,72,1284,3510,0.6137,0.0205,0.3658,-0.2479,2154.09
swiggy,2024,2526,60,648,3234,0.7811,0.0186,0.2004,-0.5807,2526.08
swiggy,2025,5306,119,1026,6451,0.8225,0.0184,0.159,-0.6635,5305.95
swiggy,2026,5027,124,801,5952,0.8446,0.0208,0.1346,-0.71,5027.06
zomato,2017,0,0,1,1,0.0,0.0,1.0,1.0,0.0
zomato,2018,622,26,709,1357,0.4584,0.0192,0.5225,0.0641,622.05
zomato,2019,3924,237,5341,9502,0.413,0.0249,0.5621,0.1491,3924.33
zomato,2020,1800,71,1125,2996,0.6008,0.0237,0.3755,-0.2253,1800.0
zomato,2021,1895,147,2844,4886,0.3878,0.0301,0.5821,0.1942,1894.79
zomato,2022,2089,152,1920,4161,0.502,0.0365,0.4614,-0.0406,2088.82
zomato,2023,1603,82,1689,3374,0.4751,0.0243,0.5006,0.0255,1602.99
zomato,2024,1373,63,1318,2754,0.4985,0.0229,0.4786,-0.02,1372.87
zomato,2025,2662,177,3076,5915,0.45,0.0299,0.52,0.07,2661.75
zomato,2026,2955,232,3464,6651,0.4443,0.0349,0.5208,0.0765,2955.04
