theme_final,negative_share_swiggy,negative_share_zomato,positive_share_swiggy,positive_share_zomato,net_sentiment_swiggy,net_sentiment_zomato,total_rows_swiggy,total_rows_zomato,negative_share_gap_zomato_minus_swiggy,net_sentiment_gap_zomato_minus_swiggy
customer_support,0.6798,0.6537,0.3112,0.3284,-0.3686,-0.3253,3242.0,3191.0,-0.0261,0.0433
app_experience,0.2094,0.1779,0.7702,0.7992,0.5609,0.6213,5340.0,5812.0,-0.0315,0.0604
competitor_comparison,0.1865,0.1404,0.8045,0.8539,0.6181,0.7135,3100.0,356.0,-0.0461,0.0954
refund_cancellation,0.9031,0.8433,0.082,0.1365,-0.8211,-0.7068,11715.0,8545.0,-0.0598,0.1143
delivery,0.4674,0.392,0.5106,0.5751,0.0432,0.1831,17210.0,16106.0,-0.0754,0.1399
food_quality,0.4853,0.3933,0.4951,0.5714,0.0098,0.1781,509.0,511.0,-0.092,0.1683
pricing_fees,0.4715,0.3713,0.4972,0.5713,0.0257,0.2,2997.0,3100.0,-0.1002,0.1743
other,0.2584,0.1353,0.7197,0.8465,0.4612,0.7112,503.0,2697.0,-0.1231,0.25
order_issue,0.8387,0.7,0.1613,0.2364,-0.6774,-0.4636,124.0,110.0,-0.1387,0.2138
trust_reviews,0.5602,0.3755,0.396,0.5894,-0.1642,0.2139,798.0,1169.0,-0.1847,0.3781
