platform,theme_final,negative,neutral,positive,total_rows,negative_share,neutral_share,positive_share,net_sentiment,priority_score
google_play,app_experience,1053,172,4587,5812,0.1812,0.0296,0.7892,0.6081,1053.13
google_play,competitor_comparison,47,18,291,356,0.132,0.0506,0.8174,0.6854,46.99
google_play,customer_support,2177,56,958,3191,0.6822,0.0175,0.3002,-0.382,2176.9
google_play,delivery,6429,679,8998,16106,0.3992,0.0422,0.5587,0.1595,6429.52
google_play,food_quality,214,19,278,511,0.4188,0.0372,0.544,0.1252,214.01
google_play,order_issue,77,11,22,110,0.7,0.1,0.2,-0.5,77.0
google_play,other,340,140,2217,2697,0.1261,0.0519,0.822,0.696,340.09
google_play,pricing_fees,1147,291,1662,3100,0.37,0.0939,0.5361,0.1661,1147.0
google_play,refund_cancellation,7539,177,829,8545,0.8823,0.0207,0.097,-0.7853,7539.25
google_play,trust_reviews,436,68,665,1169,0.373,0.0582,0.5689,0.1959,436.04
youtube,app_experience,2,17,7,26,0.0769,0.6538,0.2692,0.1923,2.0
youtube,competitor_comparison,11,439,66,516,0.0213,0.8508,0.1279,0.1066,10.99
youtube,customer_support,21,249,23,293,0.0717,0.8498,0.0785,0.0068,21.01
youtube,delivery,16,104,7,127,0.126,0.8189,0.0551,-0.0709,16.0
youtube,food_quality,3,7,1,11,0.2727,0.6364,0.0909,-0.1818,3.0
youtube,other,4,169,14,187,0.0214,0.9037,0.0749,0.0535,4.0
youtube,pricing_fees,8,68,4,80,0.1,0.85,0.05,-0.05,8.0
youtube,refund_cancellation,67,47,2,116,0.5776,0.4052,0.0172,-0.5603,67.0
youtube,trust_reviews,15,28,7,50,0.3,0.56,0.14,-0.16,15.0
