year,negative,neutral,positive,total_rows,negative_share,neutral_share,positive_share,net_sentiment,priority_score
2017,0,0,1,1,0.0,0.0,1.0,1.0,0.0
2018,653,31,673,1357,0.4812,0.0228,0.4959,0.0147,652.99
2019,4054,277,5171,9502,0.4266,0.0292,0.5442,0.1176,4053.55
2020,1849,89,1058,2996,0.6172,0.0297,0.3531,-0.264,1849.13
2021,1977,183,2726,4886,0.4046,0.0375,0.5579,0.1533,1976.88
2022,2146,197,1818,4161,0.5157,0.0473,0.4369,-0.0788,2145.83
2023,1699,118,1557,3374,0.5036,0.035,0.4615,-0.0421,1699.15
2024,1470,75,1209,2754,0.5338,0.0272,0.439,-0.0948,1470.09
2025,2748,239,2928,5915,0.4646,0.0404,0.495,0.0304,2748.11
2026,2909,296,3446,6651,0.4374,0.0445,0.5181,0.0807,2909.15
